"Date","Search Engine","Keyword","Keyword Group","Website","URL","Position","Best","Competition","Average monthly searches","CPC","Page","Type","Snippet","Local Searches","Estimated Daily Traffic"
"2019-10-04","Google.dk-DA Universal","fræsning af græsplæne","-","buus-ag.dk/","","-","-","High","70","0,95 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","anlægsgartner vejen","-","danskhaveservice.dk/","https://danskhaveservice.dk/anlaegsgartner-vejen/","11","11","Low","70","1,72 €","1","Organic","-","-","0.02348461"
"2019-10-04","Google.dk-DA Universal","anlægsgartner sydjylland","-","kjeldlarsen.dk/","http://www.kjeldlarsen.dk/","1","1","Medium","10","3,37 €","1","Local pack","-","-","0.105037555"
"2019-10-04","Google.dk-DA Universal","højbede i træ gør det selv","-","buus-ag.dk/","","-","-","High","20","0,45 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","højbede i træ gør det selv","-","vestermarkribe.dk/","","-","-","High","20","0,45 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","højbede i træ gør det selv","-","billig-gartner.dk/","","-","-","High","20","0,45 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","højbede i træ gør det selv","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","High","20","0,45 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","rengøring af granitfliser","-","vestermarkribe.dk/","http://vestermarkribe.dk/wp-content/uploads/2014/09/Granit_og_natursten_vedl-igehold_og_rengøring.pdf","12","12","High","10","0,87 €","1","Organic","-","-","0.0032957222"
"2019-10-04","Google.dk-DA Universal","højbede i træ gør det selv","-","kjeldlarsen.dk/","","-","-","High","20","0,45 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","højbede i træ gør det selv","-","danskhaveservice.dk/","","-","-","High","20","0,45 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","hækklipning vejle","-","danskhaveservice.dk/","https://danskhaveservice.dk/category/haekkeklipning/","32","1","Low","20","0,00 €","3","Image","-","-","0.21007511"
"2019-10-04","Google.dk-DA Universal","græssåning m2 pris","-","billig-gartner.dk/","","-","-","High","30","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","græssåning m2 pris","-","danskhaveservice.dk/","","-","-","High","30","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","græssåning m2 pris","-","kjeldlarsen.dk/","","-","-","High","30","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","græssåning m2 pris","-","xn--anlgsgartner-overblik-h3b.dk/","","-","-","High","30","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","højbede i træ gør det selv","-","xn--anlgsgartner-overblik-h3b.dk/","","-","-","High","20","0,45 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","brolægger fredericia","-","xn--anlgsgartner-overblik-h3b.dk/","https://www.xn--anlgsgartner-overblik-h3b.dk/syddanmark/fredericia","46","46","Medium","40","1,81 €","5","Organic","-","-","-"
"2019-10-04","Google.dk-DA Universal","stenurt tag","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","High","70","0,91 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","stenurt tag","-","billig-gartner.dk/","","-","-","High","70","0,91 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","stenurt tag","-","danskhaveservice.dk/","","-","-","High","70","0,91 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","stenurt tag","-","kjeldlarsen.dk/","","-","-","High","70","0,91 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","stenurt tag","-","xn--anlgsgartner-overblik-h3b.dk/","","-","-","High","70","0,91 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","haveanlægning pris","-","billig-gartner.dk/","","-","-","Medium","10","1,23 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","haveanlægning pris","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","Medium","10","1,23 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","haveanlægning pris","-","buus-ag.dk/","","-","-","Medium","10","1,23 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","haveanlægning pris","-","vestermarkribe.dk/","","-","-","Medium","10","1,23 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","brolægger kolding","-","kjeldlarsen.dk/","","-","-","Medium","70","1,51 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","brolægger kolding","-","danskhaveservice.dk/","","-","-","Medium","70","1,51 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","såning af græs tidspunkt","-","vestermarkribe.dk/","http://vestermarkribe.dk/wp-content/uploads/2014/09/Græsplæne_pleje_og_vedligehold_Prodana.pdf","39","39","-","10","0,00 €","4","Organic","-","-","-"
"2019-10-04","Google.dk-DA Universal","brolægger kolding","-","buus-ag.dk/","","-","-","Medium","70","1,51 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","stenurt tag","-","vestermarkribe.dk/","","-","-","High","70","0,91 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","brolægger kolding","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","Medium","70","1,51 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","anlæg ny græsplæne","-","vestermarkribe.dk/","http://vestermarkribe.dk/gronne-haver/ny-graesplaene/","18","18","High","90","1,40 €","2","Organic","-","-","0.019629"
"2019-10-04","Google.dk-DA Universal","billig rullegræs","-","billig-gartner.dk/","https://www.billig-gartner.dk/havemand-hjørring.php","44","44","High","110","0,53 €","5","Organic","-","-","-"
"2019-10-04","Google.dk-DA Universal","græssåning m2 pris","-","vestermarkribe.dk/","","-","-","High","30","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","græssåning m2 pris","-","buus-ag.dk/","","-","-","High","30","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","græssåning m2 pris","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","High","30","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","anlægsgartner rødekro","-","billig-gartner.dk/","https://www.billig-gartner.dk/f/anlægsgartner-flemming-pedersen-aps.php","9","9","Medium","20","0,00 €","1","Organic","-","-","0.008373"
"2019-10-04","Google.dk-DA Universal","anlægsgartner ribe","-","billig-gartner.dk/","https://www.billig-gartner.dk/anlægsgartner-ribe.php","9","9","Medium","30","0,95 €","1","Organic","-","-","0.0125595005"
"2019-10-04","Google.dk-DA Universal","pris rullegræs","-","danskhaveservice.dk/","","-","-","High","110","0,61 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","pris rullegræs","-","kjeldlarsen.dk/","","-","-","High","110","0,61 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","pris rullegræs","-","xn--anlgsgartner-overblik-h3b.dk/","","-","-","High","110","0,61 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","brolægger viborg","-","danskhaveservice.dk/","","-","-","Low","40","4,60 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","omfangsdræn fredericia","-","billig-gartner.dk/","","-","-","-","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","brolægger viborg","-","kjeldlarsen.dk/","","-","-","Low","40","4,60 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","omfangsdræn fredericia","-","danskhaveservice.dk/","","-","-","-","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","brolægger viborg","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","Low","40","4,60 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","omfangsdræn fredericia","-","kjeldlarsen.dk/","","-","-","-","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","brolægger viborg","-","billig-gartner.dk/","","-","-","Low","40","4,60 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","omfangsdræn fredericia","-","xn--anlgsgartner-overblik-h3b.dk/","","-","-","-","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","pris rullegræs","-","vestermarkribe.dk/","","-","-","High","110","0,61 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","brolægger viborg","-","vestermarkribe.dk/","","-","-","Low","40","4,60 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","pris rullegræs","-","buus-ag.dk/","","-","-","High","110","0,61 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","brolægger viborg","-","buus-ag.dk/","","-","-","Low","40","4,60 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","pris rullegræs","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","High","110","0,61 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","pris rullegræs","-","billig-gartner.dk/","","-","-","High","110","0,61 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","anlægning af græsplæne","-","vestermarkribe.dk/","","-","-","Medium","210","0,93 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","brolægger viborg","-","xn--anlgsgartner-overblik-h3b.dk/","","-","-","Low","40","4,60 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","græsslåning esbjerg","-","billig-gartner.dk/","https://www.billig-gartner.dk/graesslaaning-slaa-graes.php","11","11","-","10","0,00 €","1","Organic","-","-","0.0033549445"
"2019-10-04","Google.dk-DA Universal","anlægning af græsplæne","-","kjeldlarsen.dk/","","-","-","Medium","210","0,93 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","anlægning af græsplæne","-","xn--anlgsgartner-overblik-h3b.dk/","","-","-","Medium","210","0,93 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","blomsterkasse på hjul","-","vestermarkribe.dk/","","-","-","High","390","0,40 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","blomsterkasse på hjul","-","buus-ag.dk/","","-","-","High","390","0,40 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","anlægning af græsplæne","-","buus-ag.dk/","","-","-","Medium","210","0,93 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","blomsterkasse på hjul","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","High","390","0,40 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","anlægning af græsplæne","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","Medium","210","0,93 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","blomsterkasse på hjul","-","billig-gartner.dk/","","-","-","High","390","0,40 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","anlægning af græsplæne","-","billig-gartner.dk/","","-","-","Medium","210","0,93 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","blomsterkasse på hjul","-","danskhaveservice.dk/","","-","-","High","390","0,40 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","blomsterkasse på hjul","-","kjeldlarsen.dk/","","-","-","High","390","0,40 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","blomsterkasse på hjul","-","xn--anlgsgartner-overblik-h3b.dk/","","-","-","High","390","0,40 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","omfangsdræn fredericia","-","vestermarkribe.dk/","","-","-","-","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","omfangsdræn fredericia","-","buus-ag.dk/","","-","-","-","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","træfældning ikast","-","billig-gartner.dk/","https://www.billig-gartner.dk/træfældning-ikast-brande.php","5","5","Low","30","1,22 €","1","Organic","-","-","0.036312167"
"2019-10-04","Google.dk-DA Universal","omfangsdræn fredericia","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","-","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","billig gartner","-","billig-gartner.dk/","https://www.billig-gartner.dk/index.php","1","1","Medium","20","1,35 €","1","Organic","-","-","0.21007511"
"2019-10-04","Google.dk-DA Universal","rodfræsning vejle","-","danskhaveservice.dk/","https://danskhaveservice.dk/kombineret-haveservice-rodfraesning-stubfraesning-paa-esbern-snares-vej-vindinggaard-vejle/","18","1","Low","30","0,00 €","2","Image","-","-","0.31511265"
"2019-10-04","Google.dk-DA Universal","topkapning af fyrretræer","-","buus-ag.dk/","","-","-","Medium","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","topkapning af fyrretræer","-","vestermarkribe.dk/","","-","-","Medium","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","træfældning midtjylland","-","kjeldlarsen.dk/","","-","-","Medium","50","4,15 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","træfældning midtjylland","-","vestermarkribe.dk/","","-","-","Medium","50","4,15 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","træfældning midtjylland","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","Medium","50","4,15 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","træfældning midtjylland","-","buus-ag.dk/","","-","-","Medium","50","4,15 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","beplantning ved skel","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","Low","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","beplantning ved skel","-","buus-ag.dk/","","-","-","Low","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","beplantning ved skel","-","vestermarkribe.dk/","","-","-","Low","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","beplantning ved skel","-","xn--anlgsgartner-overblik-h3b.dk/","","-","-","Low","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","beplantning ved skel","-","kjeldlarsen.dk/","","-","-","Low","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","billig anlægsgartner","-","xn--anlgsgartner-esbjerg-k0b.dk/","https://xn--anlgsgartner-esbjerg-k0b.dk/","36","36","High","30","0,00 €","4","Organic","-","-","-"
"2019-10-04","Google.dk-DA Universal","beplantning ved skel","-","danskhaveservice.dk/","","-","-","Low","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","beplantning ved skel","-","billig-gartner.dk/","","-","-","Low","10","0,00 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","højbede kasser","-","kjeldlarsen.dk/","","-","-","High","140","0,62 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","højbede kasser","-","danskhaveservice.dk/","","-","-","High","140","0,62 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","højbede kasser","-","billig-gartner.dk/","","-","-","High","140","0,62 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","højbede kasser","-","xn--anlgsgartner-esbjerg-k0b.dk/","","-","-","High","140","0,62 €","-","-","-","-","-"
"2019-10-04","Google.dk-DA Universal","højbede kasser","-","buus-ag.dk/","","-","-","High","140","0,62 €","-","-","-","-","-"
